Data;7481 - Cesta básica - Belo Horizonte - u.m.c.;7491 - Cesta básica - Rio de Janeiro - u.m.c.;7493 - Cesta básica - São Paulo - u.m.c.;7494 - Cesta básica - Vitória - u.m.c.
07/2007;162,37 ;177,71 ;186,98 ;164,04
08/2007;175,59 ;182,14 ;193,04 ;172,55
09/2007;180,57 ;187,95 ;194,34 ;179,95
10/2007;186,77 ;194,27 ;201,25 ;182,84
11/2007;194,05 ;194,92 ;205,48 ;179,98
12/2007;204,80 ;194,46 ;214,63 ;189,51
01/2008;216,78 ;206,22 ;229,09 ;198,54
02/2008;206,42 ;203,82 ;226,20 ;197,90
03/2008;213,48 ;214,66 ;223,94 ;206,80
04/2008;228,32 ;222,24 ;227,81 ;212,39
05/2008;230,55 ;222,93 ;233,92 ;222,98
06/2008;236,03 ;236,16 ;245,24 ;220,46
07/2008;247,01 ;240,03 ;252,13 ;230,19
08/2008;231,26 ;214,68 ;241,15 ;207,99
09/2008;220,97 ;215,58 ;234,68 ;205,09
10/2008;222,71 ;220,99 ;238,15 ;213,56
11/2008;225,40 ;225,26 ;238,66 ;226,16
12/2008;230,25 ;239,78 ;239,49 ;227,54
01/2009;232,03 ;224,74 ;241,53 ;238,44
02/2009;217,27 ;223,52 ;237,34 ;232,48
03/2009;206,59 ;218,62 ;221,90 ;217,91
04/2009;214,55 ;222,60 ;225,63 ;219,32
05/2009;216,09 ;221,01 ;227,36 ;225,45
06/2009;218,18 ;220,20 ;228,10 ;227,30
07/2009;214,55 ;211,88 ;227,17 ;223,11
08/2009;213,51 ;213,75 ;225,69 ;223,09
09/2009;215,42 ;219,64 ;229,89 ;226,02
10/2009;220,52 ;224,75 ;230,03 ;224,57
11/2009;225,33 ;226,97 ;234,99 ;227,81
12/2009;213,97 ;213,36 ;228,19 ;219,09
01/2010;205,69 ;213,77 ;225,02 ;217,20
02/2010;216,51 ;221,80 ;229,64 ;224,74
03/2010;224,37 ;240,22 ;253,74 ;232,23
04/2010;239,06 ;253,13 ;261,39 ;244,07
05/2010;240,47 ;240,36 ;256,31 ;242,85
06/2010;231,54 ;228,16 ;249,06 ;231,12
07/2010;217,97 ;213,10 ;239,38 ;222,27
08/2010;213,81 ;211,88 ;235,65 ;217,96
09/2010;217,66 ;219,54 ;241,08 ;225,35
10/2010;229,64 ;230,13 ;253,79 ;231,26
11/2010;235,83 ;242,35 ;264,61 ;246,75
12/2010;236,24 ;242,67 ;265,15 ;242,00
01/2011;244,12 ;252,24 ;261,25 ;250,26
02/2011;246,63 ;249,02 ;261,18 ;246,31
03/2011;248,77 ;259,80 ;267,58 ;258,32
04/2011;247,03 ;255,16 ;268,52 ;256,12
05/2011;247,23 ;260,00 ;272,98 ;260,59
06/2011;248,06 ;256,91 ;273,48 ;256,14
07/2011;245,09 ;241,47 ;263,38 ;250,76
08/2011;249,48 ;253,10 ;266,75 ;249,58
09/2011;250,96 ;250,81 ;267,19 ;249,60
10/2011;252,20 ;251,97 ;266,97 ;251,98
11/2011;256,70 ;261,69 ;276,31 ;263,91
12/2011;264,01 ;262,90 ;277,27 ;275,39
01/2012;268,07 ;271,71 ;285,54 ;271,16
02/2012;264,28 ;263,46 ;276,54 ;267,19
03/2012;260,93 ;256,74 ;273,25 ;260,23
04/2012;258,78 ;252,04 ;277,27 ;262,14
05/2012;264,95 ;260,49 ;283,69 ;271,16
06/2012;265,90 ;270,36 ;287,63 ;277,70
07/2012;288,26 ;290,64 ;299,39 ;290,80
08/2012;286,35 ;302,52 ;306,02 ;298,60
09/2012;295,60 ;297,17 ;309,08 ;300,71
10/2012;290,61 ;295,39 ;311,55 ;293,83
11/2012;282,82 ;272,10 ;299,26 ;295,31
12/2012;290,88 ;281,83 ;304,90 ;290,89
01/2013;299,79 ;303,86 ;318,40 ;315,38
02/2013;313,48 ;306,83 ;326,59 ;313,40
03/2013;323,97 ;314,99 ;336,26 ;332,24
04/2013;324,53 ;327,52 ;344,30 ;328,94
05/2013;314,78 ;321,41 ;342,05 ;325,87
06/2013;308,48 ;310,00 ;340,46 ;315,63
07/2013;293,48 ;300,71 ;327,44 ;310,73
08/2013;290,54 ;298,42 ;319,66 ;310,03
09/2013;295,96 ;295,59 ;312,07 ;301,55
10/2013;302,76 ;312,90 ;321,14 ;313,78
11/2013;310,84 ;316,88 ;325,56 ;321,41
12/2013;312,25 ;315,52 ;327,24 ;321,39
01/2014;307,65 ;310,52 ;323,47 ;327,13
02/2014;298,04 ;314,72 ;325,35 ;328,43
03/2014;296,83 ;345,11 ;351,46 ;343,70
04/2014;342,49 ;346,18 ;357,85 ;351,27
05/2014;345,14 ;348,04 ;366,54 ;352,76
06/2014;319,84 ;343,44 ;354,63 ;345,98
07/2014;308,35 ;330,22 ;345,42 ;330,71
08/2014;303,50 ;327,64 ;337,80 ;329,13
09/2014;303,54 ;326,78 ;333,12 ;328,33
10/2014;307,50 ;336,10 ;341,04 ;329,19
11/2014;309,56 ;325,91 ;347,96 ;331,34
12/2014;316,06 ;338,03 ;354,19 ;333,15
01/2015;337,57 ;353,51 ;371,22 ;348,30
02/2015;341,72 ;357,27 ;378,86 ;354,85
03/2015;343,22 ;358,68 ;379,35 ;363,62
04/2015;348,36 ;374,85 ;387,05 ;376,46
05/2015;355,92 ;395,23 ;402,05 ;387,92
06/2015;338,76 ;368,71 ;392,77 ;367,94
07/2015;345,02 ;372,24 ;395,83 ;368,01
08/2015;337,42 ;361,93 ;386,04 ;358,00
09/2015;338,19 ;362,90 ;383,21 ;361,54
10/2015;338,61 ;359,66 ;382,13 ;357,30
11/2015;362,19 ;385,80 ;399,21 ;378,91
12/2015;376,91 ;394,21 ;412,12 ;384,99
01/2016;417,72 ;448,06 ;448,31 ;438,42
02/2016;400,29 ;430,56 ;443,40 ;401,38
03/2016;408,84 ;440,79 ;444,11 ;418,18
04/2016;399,24 ;433,96 ;442,42 ;414,26
05/2016;408,50 ;436,02 ;449,70 ;418,96
06/2016;425,82 ;439,33 ;469,02 ;428,69
07/2016;423,10 ;448,28 ;475,27 ;436,24
08/2016;429,64 ;455,45 ;475,11 ;436,53
09/2016;421,55 ;451,58 ;471,57 ;435,27
10/2016;418,47 ;456,44 ;469,55 ;449,16
11/2016;400,90 ;448,73 ;450,39 ;438,85
12/2016;394,66 ;443,75 ;438,89 ;426,32
01/2017;389,69 ;440,16 ;435,89 ;422,38
02/2017;377,66 ;424,55 ;426,22 ;414,03
03/2017;385,57 ;431,31 ;435,34 ;415,75
