data	indice_mes 	indice_acumulado_ano	indice_acumulado_12_meses	num_indice_acumulado_jan_1993
Jan/2023	0,53	0,5300	5,7743	1.677,2942
Fev/2023	0,84	1,3745	5,5963	1.691,3834
Mar/2023	0,71	2,0942	4,6507	1.703,3923
Abr/2023	0,61	2,7170	4,1847	1.713,7830
Mai/2023	0,23	2,9532	3,9358	1.717,7247
Jun/2023	-0,08	2,8709	3,1615	1.716,3505
Jul/2023	0,12	2,9943	3,9924	1.718,4101
Ago/2023	0,23	3,2312	4,6082	1.722,3624
Set/2023	0,26	3,4996	5,1852	1.726,8406
Out/2023	0,24	3,7480	4,8192	1.730,9850
Nov/2023	0,28	4,0385	4,6835	1.735,8318
Dez/2023	0,56	4,6211	4,6211	1.745,5524
